Меншиков. Полуночное солнце.docx,"Меньшиков И.Н. Полуночное солнце, 1984"
Меркулов. Муссолини и его время.docx,"Меркулов Р.С. Муссолини и его время, 2022"
Меркулов. Ради тебя.docx,"Меркулов О.Б. Ради тебя, 1974"
Меркурев. Конец операции Остайнзатц.docx,"Меркурьев Г.С. Савин Г.В. Конец операции Остайнзатц, 1974"
Мессе Дж. Война на русском фронте.docx,"Мессе Дж. Война на Русском фронте. Итальянский экспедиционный корпус в РОССИИ (К.С.И.Р.). — М. Книжный Мир, 2009"
Мечев. Портрет героя.docx,"Мечев М.М. Портрет героя, 1989"
Мечетный. Зарево на высочине.docx,"Мечетный Б.Т. Зарево на высочине, 1966"
Мештерхази. Свидетелство.docx,"Мештерхази Л. Свидетельство, 1983"
Мещеряков В. П. Сталин и заговорщики сорок первого года. Поиск истины.docx,"Мещеряков В.П. Сталин и заговорщики сорок первого года. Поиск истины, 2012"
Мещеряков. Отыщите меня.docx,"Мещеряков Г.А. Отыщите меня, 1990"
Микеле. Меж двух мундиров Италоязычные подданные Австро Венгерской империи на Первой мировой войне и в русском плену.docx,"Ди Микеле А. Меж двух мундиров. Италоязычные подданные Австро-Венгерской империи на Первой мировой войне и в русском плену. — СПб. Алетейя, 2022"
Микоша В.В. С киноаппаратом в бою (Честь. Отвага. Мужество) 1964.docx,"Микоша В. В. С киноаппаратом в бою. — М. Молодая гвардия, 1964"
Микоша. Рядом с солдатом.docx,"Микоша В.В. Рядом с солдатом Записки фронтового кинооператора, 1983"
Микоша. Я останавливаю время.docx,"Микоша В.В. Я останавливаю время, 2005"
Миксон. Святое дело.docx,"Миксон И.Л. Святое дело, 1988"
Миксон. Трудный месяц май.docx,"Миксон И.Л. Трудный месяц май, 1976"
Милчаков. Повести и рассказы.docx,"Мильчаков В.А. Повести и рассказы, 1957"
Милчаков. Последний прыжок.docx,"Мильчаков В.А. Последний прыжок, 1969"
Милчаков. Разведка идет впереди.docx,"Мильчаков В.А. Разведка идет впереди, 1951"
Милштейн. Заговор против Гитлера 20 июля 1944 г.docx,Мильштейн М.А. Заговор против Гитлера (20 июля 1944 г.). 1962
Милштейн. Сквоз годы войн и нищеты.docx,"Мильштейн М.А. Сквозь годы войн и нищеты, 2000"
Милютин. Лаг отсчитывает мили Рассказы.docx,"Милютин В.И. Лаг отсчитывает мили, 1963"
Миндлин. Последний бой он трудный самый.docx,"Миндлин В.А. Последний бой — он трудный самый, 1985"
Минчковский. В наши дни.docx,"Минчковский А.М. В наши дни Рассказы и повести, 1983"
Минчковский. Мы еще встретимся.docx,"Минчковский А.М. Мы еще встретимся, 1969"
Минчковский. Небо за стеклами сборник.docx,"Минчковский А.М. Небо за стеклами, 1976"
Миранда. Путешествие по Российской Империи.docx,"Миранда Ф. Путешествие по Российской Империи, 2001"
Миронов Г.М. Легенда быль о Русском Капитане.docx,"Миронов Г.М. Легенда-быль о Русском Капитане, 1965"
Миронов. Легенда был о Русском Капитане.docx,"Миронов Г.М. Легенда-быль о Русском Капитане, 1965"
Миронов. Мы поднималис в атаку.docx,"Миронов Г.М. Мы поднимались в атаку, 1980"
Миронов. Толко море вокруг.docx,"Миронов А.Е. Только море вокруг, 1960"
Митчи. Тамбов Хроника плена Воспоминания.docx,"Митчи Ш. Тамбов. Хроника плена, 2015"
Митяев А В Ветры куликова поля 1984.docx,"Митяев А.В. Ветры Куликова поля, 1984"
Митяев А.В. Героические страницы истории Родины IXXVIII вв. 1991.docx,"Митяев А.В. Героические страницы истории Родины IX—XVIII вв. Книга для чтения учащихся 5—8 классов, 1991"
Митяев А.В. Рассказы о русском флоте 1989.docx,"Митяев A. В. Рассказы о русском флоте Анатолий Митяев; рис. М. Ромадина. — М. Малыш, 1989"
Михайлов О. Генерал Ермолов.docx,"Михайлов О. Н. Генерал Ермолов. — М. ИТРК, 2002"
Михайлов О. Суворов.docx,"Михайлов О.Н. Суворов, 2003"
Михайлов. В свой смертный час.docx,"Михайлов В.М. В свой смертный час, 1985"
Михайлов. В те годы.docx,"Михайлов Н.А. В те годы, 1975"
Михайлов. Жизн замечателных людей. 567. Державин.docx,"Михайлов О.Н. Державин Романизированное описание исторических происшествий и подлинных событий, заключающих в себе жизнь Державина, 1977"
Михайлов. Жизн замечателных людей. 619. Куприн.docx,"Михайлов О.Н. Куприн, 1981"
Михайлов. Ленинград.docx,Михайлов В.В. Ленинград Героическая оборона города в 1941-1944 гг. 1980
Михайлов. На дне блокады и войны.docx,"Михайлов Б.М. На дне блокады и войны, 2000"
Михайловский Всплыть на полюсе .docx,"Михайловский Н.Г. Всплыть на полюсе!, 1970"
Михайловский Ночь у мыса Юминда.docx,"Михайловский Н.Г. Ночь у мыса Юминда, 1981"
Михале. Тревожные ночи.docx,"Михале А. Тревожные ночи, 1961"
Михеенков. Жизн замечателных людей. 1761. Берлин 45.docx,"Михеенков С.Е. Берлин-45, 2018"
Михелсон. Мертвые говорят.docx,"Михельсон С.М. Мертвые говорят. Записки военного прокурора, 1965"
Мишаткин. Шватка не на жизн.docx,"Мишаткин Ю.И. Схватка не на жизнь, 1977"
Мишкин. Птицы летают без компаса В небе дорог много.docx,"Мишкин А.Д. Птицы летают без компаса Повести, 1980"
Мищенко. Нина Сагайдак.docx,"Мищенко Д.А. Нина Сагайдак, 1970"
Млечин. Адолф Гитлер и его русские друзя.docx,"Млечин Л.М. Адольф Гитлер и его русские друзья, 2006"
Млечин. Загадки и тайны холодной войны.docx,"Млечин Л.М. Загадки и тайны холодной войны, 2019"
Млечин. Нож в спину История предателства.docx,"Млечин Л.М. Нож в спину. История предательства, 2014"
Млечин. Осажденная крепост Нерассказанная история первой холодной войны.docx,"Млечин Л.М. Осажденная крепость Нерассказанная история Первой холодной войны почему Советский Союз оказался в изоляции, 2013"
Млечин. Самая болшая тайна Гитлера.docx,"Млечин Л.М. Самая большая тайна Гитлера, 2018"
Млечин. Самая болшая тайна фюрера.docx,"Млечин Л.М. Самая большая тайна фюрера, 2008"
Млечин. Сталной оратор дремлющий в кобуре Что проишодило в России в 1917 году.docx,"Млечин Л.М. Стальной оратор, дремлющий в кобуре что происходило в России в 1917 году, 2017"
Млечин. Хризантема пока не расцвела.docx,"Млечин Л. М. Хризантема пока не расцвела Леонид Млечин. — М.; Сов. Россия, 1982"
Млечин. Югославская трагедия.docx,"Млечин Л.М. Югославская трагедия, 2019"
Млечина. Расчет с прошлым Нацизм война и литература.docx,"Млечина И.В. Расчет с прошлым. Нацизм, война и литература, 2021"
Мнячко. Смерт зовется Енгелхен.docx,"Мнячко Л. Смерть зовется Энгельхен, 1962"
Мозес Кор. Близнецы Освенцима Правдивая история близнецов доктора Менгеле.docx,"Кор Е. М. Близнецы Освенцима. Правдивая история близнецов доктора Менгеле. — М. АСТ, 2022"
Мои воспоминания о Евпатории в эпоху Крымской войны 18531856 гг.docx,"Раков В.С. Мои воспоминания о Евпатории в эпоху Крымской войны 1853-1856 гг. — Евпатория тип. М.Л. Мурованского, 1904"
Моисеев. Ключ от берлинской квартиры.docx,"Моисеев О.А. Ключ от берлинской квартиры, 1965"
Молчанов Н.Н. Петр I.docx,"Молчанов Н.Н. Пётр I, 2003"
Момыш улы. Психология войны.docx,"Момыш-Улы Б. Психология войны Книга-хроника, 1990"
Монастырев. Рассказы о пластунах.docx,"Монастырев В.А. Рассказы о пластунах, 1969"
Морган. Генералская звезда.docx,"Морган Э. Генеральская звезда, 1970"
Мординов. Беда.docx,"Мординов Н.Е. Беда, 1970"
Морисон. Битва за Атлантику.docx,"Морисон С.Э. Битва за Атлантику (сентябрь 1939 г. -- май 1943 г.), 1956"
Морозов. Герои подводного фронта Они топили корабли кригсмарине.docx,"Морозов М.Э. Герои подводного фронта они топили корабли кригсмарине, 1941–1945, 2016"
Морозов. Марат Казей.docx,"Морозов В.Н. Марат Казей, 1979"
Морозов. Юта.docx,"Морозов Н.А. Юта, 1967"
Морская разведка и шпионаж Эпизоды из мировой войны.docx,"Байуотер Г. Морская разведка и шпионаж. Эпизоды из мировой войны. — Военно-мор. изд-во НКВМФ СССР, 1939"
Москвитин. Повест о Макаре Мазае.docx,"Москвитин Н.Т. Повесть о Макаре Мазае, 1971"
Московкин. Солдат революции.docx,"Московкин В.Ф. Тарасов Е.П. Солдат революции, 1982"
Мошляк У озера Хасан.docx,"Мошляк И.Н. У озера Хасан, 1940"
Мстиславский. Два Яна.docx,"Мстиславский С.Д. Два Яна, 1942"
Мстиславский. Случай в лесу.docx,"Мстиславский С.Д. Случай в лесу, 1942"
Музыка на фронтах Великой Отечественной войны.docx,"Музыка на фронтах Великой Отечественной войны Статьи. Воспоминания, 1970"
Муратов Х.И. Крестьянская война 17731775 в России.docx,"Муратов X.И. Крестьянская война под предводительством Е. И. Пугачева (1773—1775) Пособие для учащихся, 1980"
Муратов. Командарм Лукин.docx,"Муратов В.В. Городецкая Ю.М. Командарм Лукин, 1990"
Муратов. Перевал.docx,"Муратов В.В. Перевал, 1980"
Мусатов. Клава Назарова.docx,"Мусатов А.А. Клава Назарова, 1978"
Мусатов. Костры на сопках.docx,"Мусатов А.А. Чачко М.И. Костры на сопках, 1950"
Мусатов. Стожары Повест.docx,"Мусатов А.И. Стожары, 1948"
Мусяков. Подвиг тридцатой батареи.docx,"Мусьяков П.И. Подвиг Тридцатой батареи, 1961"
Мухамедов. Рядом с врагом.docx,"Мухамедов М.М. Рядом с врагом, 1969"
Мухин М.Ю. Авиапромышленность СССР в 19211941гг.docx,"Мухин М.Ю. Авиапромышленность СССР в 1921-1941 годах, 2006"
Мухин. Советская авиапромышленност в годы Великой Отечественной войны.docx,"Мухин М.Ю. Советская авиапромышленность в годы Великой Отечественной войны, 2011"
Мухина. Блокадный дневник Лены Мухиной.docx,"Мухина Е.В. .Сохрани мою печальную историю. блокадный дневник Лены Мухиной, 2015"
Мухина. Восем сантиметров Воспоминания радистки разведчицы.docx,"Мухина Е.А. Восемь сантиметров Воспоминания радистки-разведчицы, 1982"
Мушкетик. Белая тен Жестокое милосердие.docx,"Мушкетик Ю.М. Жестокое милосердие, 1980"
Мызгин. Ни бог ни цар и не герой.docx,"Мызгин И.М. Ни бог, ни царь и не герой Воспоминания уральского подпольщика, 1979"
Мыслинский. Из одного котелка.docx,"Мыслиньский С. Из одного котелка, 1974"
Мыслинский. Над Припятю.docx,"Мыслиньский С. Над Припятью, 1979"
Мюллер В.К. Пират королевы Елизаветы.docx,"Мюллер В.К. Пират королевы Елизаветы, 1993"
Мялицын. Генерал Рубцов.docx,"Мялицын И.А. Генерал Рубцов, 1981"
Мялицын. Танки вел Алексеев.docx,"Мялицын И.А. Танки вел Алексеев, 1978"
На острие броневого удара.docx,"Лосик О. А. На острие броневого удара. — М. Русь РКБ, 2000"
Набатов. Зина Портнова.docx,"Набатов Г.О. Зина Портнова, 1982"
Наблюдение в боевой обстановке.docx,"Архипов С. Н. Пожиленков И. Наблюдение в боевой обстановке. — Л. Военмориздат, 1941"
Нагаев. Второй фронт.docx,"Нагаев Г.Д. Второй фронт, 1978"
Нагаев. Жизн замечателных людей. 187. Дегтярев.docx,"Нагаев Г.Д. Дегтярев, 1954"
Нагаев. Конструктор Шпагин.docx,"Нагаев Г.Д. Конструктор Шпагин, 1960"
Нагаев. Пионеры Вселенной.docx,"Нагаев Г.Д. Пионеры Вселенной Трилогия, 1984"
Нагибин Ю. М. Дневник.docx,"Нагибин Ю.М. Дневник, 1996"
Надеждина. Орлята.docx,"Орлята. — Л. Детсепя литература, 1972"
Надеждина. Партизанка Лара.docx,"Надеждина Н.А. Партизанка Лара, 1976"
Наджафов. Смелые не умирают.docx,"Наджафов Г.Д. Смелые не умирают, 1968"
Наживин И. Ф. Степан Разин.docx,"Наживин И. Ф. Степан Разин (Казаки). — М. ИТРК, 2004"
Назаренко. Под Андреевским и Красным флагом Русский флот в Первой мировой войне Февралской и Октябрской революциях 1914 1918 гг.docx,"Назаренко К.Б. Под Андреевским и Красным флагом русский флот в Первой мировой войне, Февральской и Октябрьской революциях, 1914-1918 гг, 2019"
Найдич. Высшая мера.docx,"Найдич М.Я. Высшая мера, 1972"
Нарижный. Помните о нас.docx,"Нарижный Б.Н. Пендюр Б.В. Помните о нас!, 1985"
Народная война в Смоленской губернии в 1812 году.docx,"Андреев П. Г. Народная война в Смоленской губернии в 1812 году. — Смоленск Смолгиз, 1940"
Насибов. Авария Джорджа Гарриса.docx,"Насибов А.А. Авария Джорджа Гарриса, 1953"
Насибов. Безумцы Роман.docx,"Насибов А.А. Безумцы, 1964"
Насибов. Долгий пут в лабиринте.docx,"Насибов А.А. Долгий путь в лабиринте, 1975"
Насибов. Неуловимые.docx,"Насибов А.А. Неуловимые, 1958"
Насибов. Тайник на Елбе.docx,"Насибов А.А. Тайник на Эльбе, 1960"
Науменко. Тополя нашей юности.docx,"Науменко И.Я. Тополя нашей юности, 1978"
Наумов. Хинелские походы.docx,"Наумов М.И. Хинельские походы, 1960"
НАША ВОЙНА.docx,"Листер Э. Наша война. — М. Издательство политической литературы, 1969"
Нгуен Дин Тхи. Разгневанная река.docx,"Нгуен Д.Т. Разгневанная река, 1973"
Нгуен Дин Тхи. Роман газета. 213. В огне.docx,"Нгуен Д.Т. В огне, 1968"
Нгуен Дин Тхи. Роман газета. 621. Линия фронта прочерчивает небо.docx,"Нгуен Д.Т. Линия фронта прочерчивает небо, 1968"
Нгуен Куанг Шанг. Когда дует северный ветер.docx,"Нгуен К.Ш. Когда дует северный ветер, 1985"
Невельской Г. И. Подвиги русских морских офицеров на крайнем востоке России.docx,"Невельской Г.И. Подвиги русских морских офицеров на крайнем востоке России (1849-1855 г.), 1957"
Неверли. Парен из Салских степей.docx,"Неверли И.Н. Парень из Сальских степей, 1959"
Недосекин Большой Хинган.docx,"Недосекин Р.К. Большой Хинган, 1969"
Нейгауз. Радиосигналы с Варты.docx,"Нейгауз Б. Радиосигналы с Варты, 1979"
Нейгауз. Украденная юност.docx,"Нейхауз В. Украденная юность, 1961"
Нейтральная полоса.docx,"Дьяченко Ф. Т. Нейтральная полоса Лит. запись Ю. Кринова. — 2-е изд. перераб. и доп. — Л. Лениздат, 1982"
Некрасов. Вася Конаков.docx,"Некрасов В.П. Вася Конаков, 1965"
Некрасов. Вторая ноч.docx,"Некрасов В.П. Вторая ночь, 1965"
Ненароков. Верност долгу О Маршале Советского Союза А И Егорове.docx,"Ненароков А.П. Верность долгу, 1983"
Нефедкин А.К. Военное дело чукчей.docx,"Нефёдкин А. К. Военное дело чукчей (середина XVII — начало XX в.). — СПб. Петербургское Востоковедение, 2003"
Нефедов. Поздняя повест о ранней юности.docx,"Нефедов Ю.А. Поздняя повесть о ранней юности, 2003"
Нечаев. Находчивый солдат.docx,"Нечаев А.Н. Привалов Б.А. Находчивый солдат Солдатские сказки, 1974"
Нечаев. Солдат Семен скорый гонец.docx,"Нечаев А.Н. Солдат Семен — скорый гонец, 1968"
Нечай. Звезда Егорова.docx,"Нечай П.Е. Звезда Егорова, 1975"
Нечай. Любов и памят.docx,"Нечай М.П. Любовь и память, 1987"
Нешков. Наступление.docx,"Нешков В. Наступление, 1981"
Никаноркин Сорок дней сорок ночей.docx,"Никаноркин А. И. Сорок дней, сорок ночей. — М. Воениздат, 1974"
"Никаноров В.П., Худяков Ю.С. Свистящие стрелы.docx","Никоноров В. П. Худяков Ю. С. Свистящие стрелы Маодуня и Марсов меч Аттилы Военное дело азиатских хунну и европейских гуннов, — СПб. Петербургское Востоковедение, 2004"
Никифоров Н.Н. Учебник сержанта артиллерии 1.docx,"Никифоров Н. Н. Учебник сержанта артиллерии. Книга 1. Стрелково-артиллерийская подготовка. — М. Воениздат, 1944"
Николаев И.И. Лейтенанты.docx,"Николаев И.И. Лейтенанты, 2009"
Николаев. В оккупации Дневник советского профессора.docx,"Николаев Л.П. В оккупации. Дневник советского профессора, 2021"
Николаев. Запах пороха.docx,"Николаев И.Н. Запах пороха, 1975"
Николаев. Линия фронта.docx,"Николаев И.Н. Линия фронта, 1986"
Николаев. Отдаю себя революции.docx,Николаев В.Н. Отдаю себя революции. 1972
Николаев. Танины тополя.docx,"Николаев В.И. Танины тополя, 1970"
Николов. Зной прошлого.docx,"Николов Г. Зной прошлого, 1984"
Николский. В двух битвах.docx,"Никольский Н.С. В двух битвах, 1985"
Николский. Веселые солдатские истории.docx,"Никольский Б.Н. Веселые солдатские истории, 1973"
Николский. Делай как я.docx,"Никольский Б.Н. Делай, как я!, 1980"
Николский. Как солдат стал солдатом.docx,"Никольский Б.Н. Как солдат стал солдатом, 1979"
Николский. Мужское воспитание.docx,"Никольский Б.Н. Мужское воспитание, 1970"
Николский. Повест о солдатском бушлате.docx,"Никольский Б.Н. Повесть о солдатском бушлате, 1983"
Николский. Солдатская школа.docx,"Никольский Б.Н. Солдатская школа, 1973"
Николский. Солдатский секрет.docx,"Никольский Б. Солдатский секрет. — Детгиз, 1978"
Николский. Формула памяти.docx,"Никольский Б.Н. Формула памяти, 1985"
Николсон. Родной берег.docx,"Николсон У. Родной берег, 2018"
Никошенко. На далекой заставе.docx,"На далекой заставе; Рассказы и очерки о пограничниках. — Петрозаводск; Госиздат Карел. АССР, 1961"
Никулин Н. Н. Воспоминания о войне.docx,"Никулин Н. Н. Воспоминания о войне. — СПб. Изд-во Гос. Эрмитажа, 2008"
Никулин. Золотая звезда.docx,"Никулин Л.В. Золотая звезда, 1944"
Никулин. Повести наших дней.docx,"Никулин М.А. Повести наших дней, 1986"
Никулин. Полая вода На тесной земле Жизн впереди.docx,"Никулин М.А. Полая вода; На тесной земле; Жизнь впереди, 1977"
Нилсен. Рапорт из Штутгофа.docx,"Нильсен М. Рапорт из Штутгофа, 1966"
Ниязи. Не говори что лес пустой.docx,"Ниязи Ф.Н. Не говори, что лес пустой. 1982"
Ниязи. Солдаты без оружия.docx,"Ниязи Ф.Н. Солдаты без оружия, 1988"
Новак. А как будеш королем а как будеш палачом Пророк.docx,"Новак Т. А как будешь королем, а как будешь палачом, 1980"
Новиков В.Н. (ред.) Оружие Победы 1987.docx,"Оружие победы Под общ. ред. В. Н. Новикова — М. Машиностроение, 1985"
Новиков Прибой. Женщина в море.docx,"Новиков-Прибой А.С. Женщина в море Повести, 1964"
Новиков Прибой. Капитан 1 го ранга.docx,"Новиков-Прибой А.С. Капитан 1-го ранга, 1987"
Новиков Прибой. Морская библиотека. 49. В бухте Отрада.docx,"Новиков-Прибой А.С. В бухте Отрада Рассказы, 1988"
Новиков Прибой. Подводники.docx,"Новиков-Прибой А.С. Подводники Повесть, 1923"
Новиков. Руины стреляют в упор.docx,"Новиков И.Г. Руины стреляют в упор, 1963"
Новиков. Сказание о Сибирякове.docx,"Новиков Л.А. Тараданкин А.К. Сказание о Сибирякове, "
Новожилов И.В. Год рождения 1921.docx,"Новожилов И.В. Год рождения 1921, 2004"
Новый дисциплинарный устав.docx,"Новый дисциплинарный устав (1882), 1882"
НОМОНГАН ТАКТИЧЕСКИЕ БОЕВЫЕ ДЕЙСТВИЯ СОВЕТСКИХ И ЯПОНСКИХ ВОЙСК.docx,"Дри Э. Дж. Номонган Тактические боевые действия советских и японских войск, 1939"
Нордман. Не стреляйте в партизан.docx,"Нордман Э.Б. Не стреляйте в партизан…, 2007"
Норт. Наполеоновские войны что если.docx,"Наполеоновские войны; что, если.; Cб. Джонатан Норт; Пер. с англ. Ю. Яблокова. — М. АСТ; СПб. Terra fantastica, 2002"
О Браэн. Что они несли с собой.docx,"О’Брайен Т. Что они несли с собой, 2017"
Оберучев К. М. В дни революции.docx,"Оберучев К.М. Офицеры в русской революции, 1918"
Образцов. Жизн замечателных людей. 1875. Игор Сикорский Четыре войны и две родины знаменитого авиаконструктора.docx,"Образцов П.А. Игорь Сикорский четыре войны и две родины знаменитого авиаконструктора, 2021"
Обухов. Операция Ракета.docx,"Обухов Л.М. Операция Ракета, 1970"
Общий свод численности иностранных добровольцев в германских вооруженных силах 1940-1945.docx,Рядовые Вермахта и СС. Приложение — Общий свод численности иностранных добровольцев в германских вооруженных силах 1940-1945
Овечкин. Особое задание.docx,"Овечкин А.А. Особое задание, 1979"
Овсиенко. Материнский кров.docx,"Овсиенко А.М. Материнский кров, 1982"
Огнев. Зеленое красное зеленое.docx,"Огнев В.Ф. Зеленое, красное, зеленое. 1972"
Одиндвадва.docx,"Цауне В. Один.два.два. — М.-Л. Молодая гвардия, 1932"
Одинцов. Дерзкие рейды.docx,"Одинцов А.И. Юферев Д.В. Дерзкие рейды, 1980"
Одинцов. Огненная вюга.docx,"Одинцов А.И. Огненная вьюга, 1990"
ОКДВА (т).docx,"Мильбах, В. С. Особая Краснознаменная Дальневосточная армия (Краснознаменный Дальневосточный фронт) Политические репрессии командно-начальствующего состава, 1937-1938 гг. — Издательский дом Санкт-Петербургского университета, 2007"
ОКДВА (ф).docx,"Мильбах, В. С. Особая Краснознаменная Дальневосточная армия (Краснознаменный Дальневосточный фронт) Политические репрессии командно-начальствующего состава, 1937-1938 гг. — Издательский дом Санкт-Петербургского университета, 2007"
Окончательная версия Нюрнберга.docx,"Усовский А. В. Антинюрнберг, или Главная ложь ХХ века. — Военная литература, 2017"
Окороков. Южноуралцы на фронте и в тылу.docx,"Южноуральцы на фронте и в тылу Челяб.обл.совет ветеранов войны, труда, вооруж.сил и правоохран. органов; Челяб. обл. орг-ция Знание; Ред. П. А. Агарышев, сост. О. Д. Суховилова. — Челябинск, 1993"
Окуджава. Из школы на фронт Нас ждал огон смертелный.docx,"Окуджава Б.Ш. Из школы на фронт. Нас ждал огонь смертельный…, 2019"
Олдингтон Р. Все люди — враги.docx,"Олдингтон Р. Все люди — враги, 1983"
Олдингтон Р. Все люди враги.docx,"Олдингтон Р. Все люди — враги, 1983"
Олдингтон Р. Смерь героя.docx,"Олдингтон Р. Смерть героя, 1961"
Олейник. Жилюки.docx,"Олейник Н.Я. Жилюки, 1986"
Олейников. Турецкий капкан 100 лет спустя.docx,"Олейников А.В. Турецкий капкан 100 лет спустя, 2016"
Олчак Роникер. Корчак Опыт биографии.docx,"Ольчак-Роникер И. Корчак опыт биографии, 2015"
Оляча. Козара.docx,"Оляча М. Козара, 1970"
Омилянович. В Беловежской пуще.docx,"Омильянович А. В Беловежской пуще, 1978"
Омилянович. В тылу врага.docx,"Омильянович А. В тылу врага, 1975"
Омилянович. Смысл жизни.docx,"Омильянович А. Смысл жизни, 1973"
Оока С. Огни на равнине.docx,"Оока С. Огни на равнине, 2006"
Орлев. Беги малчик беги.docx,"Орлев У. Беги, мальчик, беги, 2012"
Орленко. Операция без выстрела.docx,"Орленко В.Г. Операция без выстрела, 1982"
Орлов. За кулисами второго фронта.docx,"Орлов А.С. За кулисами второго фронта, 2001"
Орлов. Записки летчикаиспытателя.docx,"Орлов Б. А. Записки летчика-испытателя. — М. Авико-пресс, 1994"
Орлов. Мест Голубой двойки.docx,"Орлов Ф.Н. Месть Голубой двойки, 1966"
Орлов. Судба солдатская.docx,"Орлов Б.Н. Судьба солдатская, 1985"
Орсан. Голанские высоты.docx,"Орсан А.О. Голанские высоты, 2001"
ОСБ 17 СК (т).docx,История Отдельного Саперного Батальона 17-го стрелкового корпуса. 1920—1930
ОСБ 17 СК.docx,История Отдельного Саперного Батальона 17-го стрелкового корпуса. 1920—1930
Освобождение Вены.docx,"Корольченко А. Ф. Освобождение Вены роман-хроника. — М. Астрель ACT Транзиткнига, 2005"
Осинин. Железная команда.docx,"Осинин Н.П. Железная команда, 1966"
Осинин. Полк прорыва.docx,"Осинин В.С. Полк прорыва, 1983"
Осинин. Через все преграды.docx,"Осинин Н.П. Через все преграды, 1963"
Осипенко А.Х. Шашков А.А. Пятерка отважных. Лань река лесная.docx,"Осипенко А.Х. Пятерка отважных, 1990"
Осипенко. Огненный азимут.docx,"Осипенко А.Х. Огненный азимут, 1969"
Осипенко. Пятерка отважных Лан река лесная.docx,"Осипенко А.Х. Пятерка отважных, 1990"
Осипов К. Адмирал Макаров.docx,"Осипов К. О. Адмирал Макаров. — М. Огиз, Госполитиздат, 1943"
Осипов. Жизн замечателных людей. 939. Шолохов.docx,"Осипов В.О. Шолохов, 2005"
Осипов. Что там за линией фронта.docx,"Осипов Г.О. Что там, за линией фронта, 1985"
Осипов. Я ищу детство.docx,"Осипов В.Д. Я ищу детство, 1989"
Особое задание.docx,"Шевцов И. Б. Особое задание. — М. Политиздат, 1965"
Остен. Встан над болю своей.docx,"Остен В.В. Встань над болью своей, 1989"
Остроумов. От летчика истребителя до генерала авиации В годы войны и в мирное время 1936 1979.docx,"Остроумов Н.Н. От летчика-истребителя до генерала авиации в годы войны и в мирное время, 1936–1979, 2010"
Очкин. Иван я Федоровы мы.docx,"Очкин А.Я. Иван — я, Федоровы — мы Героическая быль, 1982"
Очкин. Четырнадцатилетний истребител.docx,"Очкин А.Я. Четырнадцатилетний истребитель, 1966"
Павленко Н.И. Петр Первый и его время.docx,"Павленко Н.И. Петр Первый, 1976"
Павленко П.А. Кавказская повесть.docx,"Павленко П.А. Кавказская повесть, 1958"
Павличенко. Я снайпер В боях за Севастопол и Одессу.docx,"Павличенко Л.М. Я — снайпер. В боях за Севастополь и Одессу, 2015"
Павлов Б.А. Первые четырнадцать лет.docx,"Павлов Б.А. Первые четырнадцать лет Посвящается памяти алексеевцев, 1997"
Павлов Я.С. Советскогерманские договоры 19391941.docx,"Павлов Я. С. Советско-германские договоры 1939—1941 годов трагедия тайных сделок. — Мн. БелНИИДАД, 1996"
Павлов. Вовка с ничейной полосы.docx,"Павлов Б.П. Вовка с ничейной полосы, 1983"
Павлов. Дорога к дому.docx,"Павлов Б.П. Дорога к дому, 1965"
Павлов.Легендарная железная.docx,"Павлов И. Н. Легендарная Железная Боевой путь Мотострелковой Самаро-Ульяновской, Бердичевской Железной ордена Октябрьской Революции, трижды Краснознамённой, орденов Суворова и Богдана Хмельницкого дивизии. — М. Воениздат, 1987"
Павловский. Блокадные после.docx,"Блокадные после автор-составитель Полина Барскова. — Москва; АСТ, 2019"
Павловский. Не оглядывайся сынок.docx,"Павловский О.П. Не оглядывайся, сынок, 1982"
Павлюков А. Ежов. Биография.docx,"Павлюков А. Е. Ежов. Биография. — М. Захаров, 2007"
Падерин. Когда цветут камни.docx,"Падерин И.Г. Когда цветут камни, 1975"
Падерин. На главном направлении.docx,"Падерин И.Г. На главном направлении Повести и очерки, 1984"
Падерин. Ожоги сердца.docx,"Падерин И.Г. Ожоги сердца Повести и очерки, 1988"
Падерин. Сквоз огон.docx,"Падерин И.Г. Сквозь огонь, 1967"
Падерин. Шахматы из слоновой кости.docx,"Падерин Г.Н. Шахматы из слоновой кости, 1981"
Пайк. В индейских прериях и тылах мятежников.docx,"Пайк Дж. В индейских прериях и тылах мятежников. Воспоминания техасского рейнджера и разведчика, 2018"
Пак. В списках спасенных нет.docx,"Пак А.И. В списках спасенных нет, 1961"
Пакулов. Глубинка.docx,"Пакулов Г.И. Глубинка Повести, 1981"
Палажченко. Партизанский комицсар.docx,"Палажченко А.Е. Партизанский комиссар, 1972"
Памятка инвалида войны.docx,"Памятка инвалида войны, 1941"
Панкин. Четыре Я Константина Симонова.docx,"Панкин Б.Д. Четыре Я Константина Симонова Роман-биография, 1999"
Панов Н.Н. Морские повести.docx,"Панов Н.Н. Морские повести, 1954"
Панов. Орлы капитана Людова.docx,"Панов Н.Н. Орлы капитана Людова, 1963"
Панов. Русские на снегу судба человека на фоне исторической метели.docx,"Панов Д.П. Русские на снегу судьба человека на фоне исторической метели, 2003"
Панферов. Пуст всегда светит солнце.docx,"Панферов К. Ф. Пусть всегда светит солнце; Рассказы. — Москва; Воениздат, 1966"
Панцов. Жизн замечателных людей. 1251. Мао Цзедун.docx,"Панцов А.В. Мао Цзэдун, 2007"
