bio_0_djvu_mayorova_ei01.docx,"Майорова Е.И. Женские лики Столетней войны, 2013"
bio_0_djvu_melgunov_sp01.docx,"Мельгунов С.П. Александр I. Сфинкс на троне, 2010"
bio_0_djvu_mihailov_on01.docx,"Михайлов О.Н. Генерал Ермолов, 2002"
bio_0_djvu_molchanov_nn01.docx,"Молчанов Н.Н. Генерал де Голль, 1980"
bio_0_djvu_morozov_vn02.docx,"Морозов В.Н. Володя Щербацевич, 1981"
bio_0_djvu_mozheyko_iv01.docx,"Можейко И.В. Аун Сан, 1965"
bio_0_djvu_mylnikov_as01.docx,"Мыльников А.С. Пётр III Повествование в документах и версиях, 2002"
bio_0_djvu_nadezhdina_na01.docx,"Надеждина Н.А. Лара Михеенко, 1982"
bio_0_djvu_oleynikov_av01.docx,"Олейников A.B. Успешные генералы забытой войны, 2014"
bio_0_djvu_osipov_ko01.docx,"Осипов К.О. Адмирал Макаров, 1943"
bio_0_djvu_osipov_ko02.docx,"Осипов К.О. Богдан Хмельницкий, 1948"
bio_0_djvu_panteleev_ya01.docx,"Пантелеев Ю.А. Адмирал С.О. Макаров. 1848-1948, 1949"
bio_0_djvu_pashuto_vt01.docx,"Пашуто В.Т. Александр Невский, 1974"
bio_0_djvu_patrushev_ai01.docx,"Патрушев А.И. Германские канцлеры от Бисмарка до Меркель, 2009"
bio_0_djvu_pavlenko_ni03.docx,"Павленко Н.И. Меншиков Полудержавный властелин, 2005"
bio_0_djvu_pavlenko_pa01.docx,"Павленко П.А. Шамиль, 1990"
bio_0_djvu_pernoud_r01.docx,"Перну Р. Ричард Львиное Сердце, 2009"
bio_0_djvu_peskov_am01.docx,"Песков А.М. Павел I, 2005"
bio_0_djvu_petrov_dd01.docx,"Петров Д.Д. Якутяне — одни из инициаторов снайперского движения в Великой Отечественной войне, 2008"
bio_0_djvu_petrushevsky_af01-1.docx,"Петрушевский А.Ф. Генералиссимус князь Суворов. Том 1, 1884"
bio_0_djvu_petrushevsky_af01-2.docx,"Петрушевский А.Ф. Генералиссимус князь Суворов. Том 1, 1884"
bio_0_djvu_petrushevsky_af01-3.docx,"Петрушевский А.Ф. Генералиссимус князь Суворов. Том 1, 1884"
bio_0_djvu_pisarenko_ka01.docx,"Писаренко К.А. Елизавета Петровна, 2014"
bio_0_djvu_pochekaev_ru01.docx,"Почекаев Р.Ю. Цари ордынские. Биографии ханов и правителей Золотой Орды, 2012"
bio_0_djvu_polyakov_ba01.docx,"Поляков Б.А. Молва, 1970"
bio_0_djvu_raevsky_bm01.docx,"Раевский Б.М. Нина Куковерова, 1972"
bio_0_djvu_rayt-kovalyova_rj01.docx,"Райт-Ковалева Р.Я. Человек из Музея Человека Повесть о Б. Вильде, 1982"
bio_0_djvu_ripenko_ub01.docx,"Рипенко Ю.Б. Маршал Варенцов. Путь к вершинам славы и долгое забвение. 1901-1971, 2011"
bio_0_djvu_rokot_v01.docx,"Рокот В. Князь Русской Америки. Д. П. Максутов, 2007"
bio_0_djvu_roux_jp-ill.docx,"Ру Ж.-П. Тамерлан, иллюстрации, 2007"
bio_0_djvu_roux_jp.docx,"Ру Ж.-П. Тамерлан, 2007"
bio_0_djvu_rozenshild-paulin_lk01.docx,"Розеншильд-Паулин Л.К. Любимец России, или Храбрый Кульнев, 2005"
bio_0_djvu_rudnev_nv01.docx,"Руднев Н. В. Командир легендарного крейсера. — Тула Тульское книжное издательство, 1960"
bio_0_djvu_runov_va01.docx,"Рунов В.А. Фрунзе. Тайна жизни и смерти, 2011"
bio_0_djvu_runovsky_ai01.docx,"Руновский А.И. Записки о Шамиле, 1989"
bio_0_djvu_rutchenko_tubyansky01.docx,"Рутченко А. Тубянский М. Тюренн, 1939"
bio_0_djvu_rybas3.docx,"Рыбас С. Ю. Сталин. — М. Молодая гвардия, 2009"
bio_0_djvu_saharov_an01.docx,"Сахаров А.Н. Степан Разин (Хроника XVII века), 1973"
bio_0_djvu_sapozhnikova_gm.docx,"Сапожникова Г.М. Арнольд Мери последний эстонский герой Судьба человека как путеводитель по новейшей истории, 2009"
bio_0_djvu_saukke_mb01.docx,"Саукке М.Б. Неизвестный Туполев, 2006"
bio_0_djvu_semanov_sn02.docx,"Семанов С.H. Председатель КГБ Юрий Андропов, 2008"
bio_0_djvu_serebryakov_gv01.docx,"Серебряков Г.В. Денис Давыдов, 1985"
bio_0_djvu_service_r01.docx,"Сервис Р. Ленин, 2002"
bio_0_djvu_shapiro_al01.docx,"Шапиро А.Л. Адмирал Д. Н. Сенявин, 1958"
bio_0_djvu_shigin_vv01.docx,"Шиrин В.В. Адмирал Нельсон, 2010"
bio_0_djvu_shigin_vv20.docx,"Шигин В.В. Последние герои империи, 2013"
bio_0_djvu_shipilov_if01.docx,"Шипилов И.Ф. Жизнь, отданная будущему, 1962"
bio_0_djvu_shishov_av09.docx,"Шишов A.B. Полководцы кавказских войн, 2001"
bio_0_djvu_shishov_av11.docx,"Шишов A.B. Генерал Дроздовский. Легендарный поход от Ясс до Кубани и Дона, 2012"
bio_0_djvu_skorobogatov_ve01.docx,"Скоробогатов В.Е. Берзарин, 2012"
bio_0_djvu_skritsky_nv02.docx,"Скрицкий Н.В. Русские адмиралы — герои Синопа, 2008"
bio_0_djvu_skrynnikov_rg03.docx,"Скрынников Р.Г. Василий III. Иван Грозный, "
bio_0_djvu_skrynnikov_rg04.docx,"Скрынников Р.Г. Минин и Пожарский, 2011"
bio_0_djvu_slavkovich_df01.docx,"Славкович Д.Ф. Я вернусь, мама!. "
bio_0_djvu_smyslov_os02.docx,"Смыслов О.С. Забытые герои войны, 2014"
bio_0_djvu_snegiryov_vl01.docx,"Снегирев В.Л. Адмирал Сенявин, 1945"
bio_0_djvu_snegiryov_vl02.docx,"Снегирев В.Л. Адмирал Ушаков (1943), 1943"
bio_0_djvu_snegiryov_vl03.docx,"Снегирев В.Л. Адмирал Ушаков (1945), 1945"
bio_0_djvu_sokolov_bv02.docx,"Соколов Б.В. Тухачевский, 2008"
bio_0_djvu_svechin_aa01.docx,"Свечин А.А. Клаузевиц, 1935"
bio_0_djvu_sverdlov_fd01.docx,"Свердлов Ф.Д. Евреи-генералы Вооруженных Сил СССР, 1993"
bio_0_djvu_tihomirov_vv01.docx,"Тихомиров В.В. Саша Ковалёв, 1981"
bio_0_djvu_tkachyov_pi01.docx,"Ткачёв П.И. Люся Герасименко, 1981"
bio_0_djvu_totoev_ms01.docx,"Тотоев М.С. Солдат революции, 1967"
bio_0_djvu_truhanovsky_vg02.docx,"Трухановский В.Г. Адмирал Нельсон, 1980"
bio_0_djvu_tshovrebov_in01.docx,"Трухановский В.Г. Уинстон Черчилль, 1982"
bio_0_djvu_tucker_rc01.docx,"Такер Р. Сталин. История и личность, 1996"
bio_0_djvu_ueberschar_g01.docx,"Юбершер Г.Р. Генерал-полковник Франц Гальдер, 1998"
bio_0_djvu_ulyanova_od01.docx,"Ульянова О.Д. Родной Ленин (Владимир Ильич и его семья), 2002"
bio_0_djvu_ushakova_od01.docx,"Ушакова О.Д. Великие полководцы, 2006"
bio_0_djvu_ustinov_vg01.docx,"Устинов В. Г. Столетняя война и Войны Роз Вадим Устинов. — М. ACT Астрель Хранитель, 2008"
bio_0_djvu_uzhanov_ae01.docx,"Ужанов А.Е. Калашников, 2015"
bio_0_djvu_varnhagen-von-ense_ka01.docx,"Фарнгаген фон Энзе К.А. Жизнеописание генерала Зейдлица, 1839"
bio_0_djvu_venkov_av01.docx,"Венков A.B. Атаман Войска Донского Платов, 2014"
